

 ============== Excution Marking =================
 	Sun Sep 10 00:51:45 2017
 =================================================


MKL Double 
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found M 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info 
	0.310000	0.500000	1.000000	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	0.214847	0.308415	69.661646	N/A	406	0
Feast Double
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found M 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1024	-0.912407	0.000000	1	406	-1.182718e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	16.152594	16.293839	99.133139	22	406	2
	0.310000	0.500000	1.000000	9	6	20	0	1	0	10	0	1024	-0.912407	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	2.801626	2.942992	95.196513	3	406	0
	0.310000	0.500000	1.000000	17	6	20	0	1	0	10	0	1024	-0.912407	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	3.597286	3.730694	96.424042	3	406	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1024	-0.912407	0.000000	1	406	-1.182705e-03	-7.758603e-01	inf	47.737297	0.000000	0.000017	17.457624	17.553542	99.453568	22	406	2
	0.310000	0.500000	1.000000	9	6	20	0	1	0	50	0	1024	-0.912407	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	2.797958	2.895566	96.629058	3	406	0
	0.310000	0.500000	1.000000	17	6	20	0	1	0	50	0	1024	-0.912407	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	3.437448	3.530802	97.356012	3	406	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1024	-0.912407	0.000000	1	406	-1.181778e-03	-7.758603e-01	inf	47.737164	0.000000	0.000017	29.087632	29.192575	99.640515	22	406	2
