

 ============== Excution Marking =================
 	Sun Sep 10 01:45:20 2017
 =================================================


MKL Double 
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found M 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info 
	0.310000	0.500000	1.000000	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	0.204513	0.337021	60.682570	N/A	406	0
Feast Double
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found M 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1024	-0.800000	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	16.515982	16.608965	99.440165	22	406	2
	0.310000	0.500000	1.000000	9	6	20	0	1	0	10	0	1024	-0.800000	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	3.535089	3.678364	96.104925	3	406	0
	0.310000	0.500000	1.000000	17	6	20	0	1	0	10	0	1024	-0.800000	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	5.949448	6.083510	97.796304	3	406	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	50	0	1024	-0.800000	0.000000	1	406	-1.182717e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	18.517731	18.627952	99.408302	22	406	2
	0.310000	0.500000	1.000000	9	6	20	0	1	0	50	0	1024	-0.800000	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	3.721665	3.864356	96.307512	3	406	0
	0.310000	0.500000	1.000000	17	6	20	0	1	0	50	0	1024	-0.800000	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737309	0.000000	0.000017	2.735717	2.879291	95.013564	2	406	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1024	-0.800000	0.000000	1	406	-1.182516e-03	-7.758602e-01	inf	47.737228	0.000000	0.000017	23.482320	23.622220	99.407761	22	406	2
	0.310000	0.500000	1.000000	9	6	20	0	1	0	90	0	1024	-0.800000	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737312	0.000000	0.000017	5.926842	6.079044	97.496286	3	406	0
	0.310000	0.500000	1.000000	17	6	20	0	1	0	90	0	1024	-0.800000	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737316	0.000000	0.000017	4.367679	4.540740	96.188702	2	406	0
	0.310000	0.500000	1.000000	1	6	20	0	1	1	10	0	1024	-0.800000	0.000000	1	406	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	19.163185	19.300211	99.290028	22	406	2
