MKL Double 
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info 
	0.310000	0.500000	1.000000	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 -1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	0.294650	0.367958	80.077028	N/A	406	0
Feast Double
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	300	-0.304136	0.000000	1	MKL Double 
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info 
	0.310000	0.500000	1.000000	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 -1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	0.292729	0.371898	78.712225	N/A	406	0
Feast Double
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	300	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568505	0.000000	0.069687	10.794139	10.860583	99.388210	22	239	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	10.141177	10.208170	99.343732	16	239	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	9.450508	9.520678	99.262971	12	239	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	300	-0.912407	0.000000	3	-1.205611e-01	-7.566305e-01	inf	25.800920	0.000000	0.002630	9.876332	9.948714	99.272449	22	299	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	400	-0.912407	0.000000	3	-7.174451e-04	-7.758603e-01	inf	48.004200	0.000000	0.000016	12.528938	12.604300	99.402093	20	400	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	500	-0.912407	0.000000	3	-1.182717e-03	-7.758603e-01	inf	47.737293	0.000000	0.000017	18.967632	19.039488	99.622595	22	406	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	300	-1.520679	0.000000	5	-6.046139e-02	-7.758603e-01	inf	25.009527	0.000000	0.003155	2.088237	2.156962	96.813801	5	300	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	400	-1.520679	0.000000	5	-4.015170e-03	-7.758603e-01	inf	47.802231	0.000000	0.000017	14.602921	14.676326	99.499841	22	398	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	500	-1.520679	0.000000	5	-1.181508e-03	-7.758603e-01	inf	47.736862	0.000000	0.000017	18.238994	18.315000	99.585006	22	406	2
	0.310000	0.500000	1.000000	11	6	20	0	1	0	10	0	300	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	5.665040	5.747742	98.561141	4	239	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	10	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	6.487441	6.554594	98.975482	4	239	0
