MKL Double 
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info 
	0.310000	0.500000	1.000000	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 -8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	15.590663	16.732963	93.173355	N/A	1811	0
Feast Double
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1711	-0.511053	0.000000	1	-8.237685e-05	-5.109041e-01	inf	17.833361	0.000000	0.016469	936.618132	937.684935	99.886230	22	1489	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1389	-1.533158	0.000000	3	-5.306308e-02	-7.758208e-01	inf	25.898556	0.000000	0.002571	126.496659	127.580695	99.150313	5	1389	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1489	-1.533158	0.000000	3	-3.767821e-02	-7.758208e-01	inf	29.206589	0.000000	0.001200	189.622593	190.674750	99.448193	6	1489	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1589	-1.533158	0.000000	3	-1.782525e-02	-7.758208e-01	inf	33.447266	0.000000	0.000452	235.410949	236.466366	99.553671	7	1589	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1689	-1.533158	0.000000	3	-6.002945e-03	-7.758208e-01	inf	40.457115	0.000000	0.000090	451.361003	452.550465	99.737165	11	1689	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1789	-1.533158	0.000000	3	-1.490164e-04	-7.758208e-01	inf	48.029743	0.000000	0.000016	1029.694726	1030.828088	99.890053	22	1779	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1889	-1.533158	0.000000	3	-2.756856e-04	-7.758208e-01	inf	48.446930	0.000000	0.000014	1060.056248	1061.171360	99.894917	22	1805	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1989	-1.533158	0.000000	3	-2.155615e-04	-7.758208e-01	inf	48.408882	0.000000	0.000014	1156.117426	1157.234051	99.903509	22	1809	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	10	0	1709	-2.555264	0.000000	5	-2.289539e-03	-7.758208e-01	inf	41.796993	0.000000	0.000066	742.181140	743.274225	99.852937	18	1709	3
