

Feast 3.0:  image size = 32 X 32  ,   # Sub-Intervals= 1

| Sub-Intervals| 		| -1.08 -- 0 |
| List M0 |   		          | 597 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	0	12	 inf	   47.917	   18.917	   2.159	  21.193	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	1	12	 inf	   47.917	   17.392	   0.664	  18.087	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	2	12	 inf	   47.917	   17.425	   0.682	  18.156	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 81	0	12	 inf	   47.917	   17.300	   0.665	  18.002	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 81	1	12	 inf	   47.917	   17.325	   0.670	  18.035	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 81	2	12	 inf	   47.917	   17.418	   0.675	  18.133	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  15	 1	0	12	 inf	   47.917	   17.389	   0.667	  18.091	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  15	 1	1	12	 inf	   47.917	   17.314	   0.673	  18.027	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  15	 1	2	12	 inf	   47.917	   17.286	   0.671	  17.999	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  15	 81	0	12	 inf	   47.917	   17.267	   0.676	  17.989	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  15	 81	1	12	 inf	   47.917	   17.305	   0.670	  18.011	 9	571	0
0.260	0.500	1.000	-1.082	0.000	597	  15	 81	2	12	 inf	   47.917	   17.416	   0.686	  18.159	 9	571	0
0.260	0.500	1.000	-1.082	0.000	716	  8	 1	0	12	 inf	   47.917	   10.100	   0.667	  10.805	 4	571	0
0.260	0.500	1.000	-1.082	0.000	716	  8	 1	1	12	 inf	   47.917	   10.131	   0.652	  10.816	 4	571	0
0.260	0.500	1.000	-1.082	0.000	716	  8	 1	2	12	 inf	   47.917	   10.039	   0.662	  10.739	 4	571	0
0.260	0.500	1.000	-1.082	0.000	716	  8	 81	0	12	 inf	   47.917	   10.116	   0.653	  10.798	 4	571	0
0.260	0.500	1.000	-1.082	0.000	716	  8	 81	1	12	 inf	   47.917	   10.135	   0.659	  10.830	 4	571	0
0.260	0.500	1.000	-1.082	0.000	716	  8	 81	2	12	 inf	   47.917	   10.102	   0.668	  10.810	 4	571	0
0.260	0.500	1.000	-1.082	0.000	716	  15	 1	0	12	 inf	   47.917	   10.092	   0.675	  10.811	 4	571	0
0.260	0.500	1.000	-1.082	0.000	716	  15	 1	1	12	 inf	   47.917	   10.089	   0.672	  10.806	 4	571	0
0.260	0.500	1.000	-1.082	0.000	716	  15	 1	2	12	 inf	   47.917	   10.125	   0.672	  10.840	 4	571	0
0.260	0.500	1.000	-1.082	0.000	716	  15	 81	0	12	 inf	   47.917	   10.115	   0.662	  10.812	 4	571	0
0.260	0.500	1.000	-1.082	0.000	716	  15	 81	1	12	 inf	   47.917	   10.128	   0.670	  10.838	 4	571	0
