 Scan The fastest combinaison 32

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 32 X 32  ,   # Sub-Intervals= 1

| Sub-Intervals| 		| -1.08 -- 0 |
| List M0 |   		          | 597 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	0	6	 inf	   15.408	   20.463	   0.835	  21.328	 20	339	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	0	6	 inf	   15.408	   20.358	   0.638	  21.012	 20	339	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	0	6	 inf	   15.408	   16.938	   0.639	  17.594	 20	339	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	0	6	 inf	   15.408	   16.523	   0.637	  17.176	 20	339	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	0	12	 inf	   15.408	   20.404	   0.645	  21.065	 20	339	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	0	12	 inf	   15.408	   20.241	   0.640	  20.897	 20	339	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	0	12	 inf	   15.408	   16.926	   0.650	  17.592	 20	339	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	0	12	 inf	   15.408	   17.237	   0.642	  17.896	 20	339	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	1	6	 inf	   15.977	   21.070	   0.652	  21.738	 20	336	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	1	6	 inf	   15.977	   21.195	   0.651	  21.862	 20	336	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	1	6	 inf	   15.977	   18.809	   0.663	  19.489	 20	336	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	1	6	 inf	   15.977	   18.177	   0.665	  18.858	 20	336	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	1	12	 inf	   15.977	   21.144	   0.651	  21.812	 20	336	2	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	1	12	 inf	   15.977	   21.156	   0.654	  21.826	 20	336	2	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	1	12	 inf	   15.977	   18.092	   0.656	  18.765	 20	336	2	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	1	12	 inf	   15.977	   18.094	   0.654	  18.764	 20	336	2	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	2	6	 inf	   17.235	   3.047	   0.651	  3.715	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	2	6	 inf	   17.235	   3.125	   0.652	  3.790	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	2	6	 inf	   17.235	   2.788	   0.653	  3.454	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	2	6	 inf	   17.235	   2.694	   0.648	  3.356	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	2	12	 inf	   17.235	   3.152	   0.651	  3.816	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	2	12	 inf	   17.235	   3.159	   0.647	  3.819	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	2	12	 inf	   17.235	   2.776	   0.648	  3.437	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 1	2	12	 inf	   17.235	   2.754	   0.650	  3.418	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	0	6	 inf	   17.461	   3.121	   0.652	  3.786	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	0	6	 inf	   17.461	   3.140	   0.657	  3.810	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	0	6	 inf	   17.461	   2.766	   0.653	  3.433	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	0	6	 inf	   17.461	   2.749	   0.651	  3.414	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	0	12	 inf	   17.461	   3.133	   0.648	  3.795	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	0	12	 inf	   17.461	   3.149	   0.647	  3.810	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	0	12	 inf	   17.461	   2.765	   0.652	  3.431	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	0	12	 inf	   17.461	   2.758	   0.646	  3.418	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	1	6	 inf	   18.335	   3.118	   0.655	  3.786	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	1	6	 inf	   18.335	   3.147	   0.653	  3.814	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	1	6	 inf	   18.335	   2.498	   0.646	  3.157	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	1	6	 inf	   18.335	   2.613	   0.652	  3.278	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	1	12	 inf	   18.335	   3.251	   0.655	  3.919	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	1	12	 inf	   18.335	   3.177	   0.654	  3.844	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	1	12	 inf	   18.335	   2.779	   0.651	  3.444	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  8	 100	1	12	 inf	   18.335	   2.780	   0.652	  3.446	 2	358	3	1	1	0	0
