 Scan The fastest combinaison 64

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 64 X 64  ,   # Sub-Intervals= 8

| Sub-Intervals| 		| -1.09 -- -0.556 -- -0.454 -- -0.366 -- -0.285 -- -0.209 -- -0.138 -- -0.0689 -- 0 |
| List M0 |   		          | 337 -- 325 -- 334 -- 332 -- 331 -- 344 -- 339 -- 338 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	0	6	 inf	   21.930	   750.008	   457.701	  1207.965	 20	2054	16	0	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	0	6	 inf	   21.930	   268.954	   464.266	  733.462	 20	2054	16	1	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	0	6	 inf	   21.930	   731.368	   469.792	  1201.419	 20	2054	16	0	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	0	6	 inf	   21.930	   273.762	   467.783	  741.883	 20	2054	16	1	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	0	12	 inf	   21.930	   748.534	   465.080	  1213.910	 20	2054	16	0	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	0	12	 inf	   21.930	   279.055	   465.297	  744.637	 20	2054	16	1	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	0	12	 inf	   21.930	   751.071	   466.579	  1217.952	 20	2054	16	0	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	0	12	 inf	   21.930	   269.408	   466.048	  735.766	 20	2054	16	1	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	1	6	 inf	   20.910	   754.828	   464.774	  1219.828	 20	1976	16	0	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	1	6	 inf	   20.910	   272.028	   468.823	  741.126	 20	1976	16	1	0	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	1	6	 inf	   20.910	   748.885	   468.805	  1217.885	 20	1976	16	0	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	1	6	 inf	   20.910	   271.405	   470.774	  742.444	 20	1976	16	1	1	0	0
0.260	0.500	1.000	-1.087	-0.556	269	  8	 1	1	12	 inf	   20.910	   738.294	   468.852	  1207.387	 20	1976	16	0	0	0	0
