 Scan The fastest combinaison 64

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 64 X 64  ,   # Sub-Intervals= 4

| Sub-Intervals| 		| -1.09 -- -0.454 -- -0.285 -- -0.138 -- 0 |
| List M0 |   		          | 660 -- 667 -- 675 -- 676 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	0	6	 inf	   21.840	   505.314	   186.665	  692.238	 20	2051	8	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	0	6	 inf	   21.840	   340.867	   185.979	  527.045	 20	2051	8	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	0	6	 inf	   21.840	   505.473	   186.642	  692.355	 20	2051	8	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	0	6	 inf	   21.840	   335.796	   186.081	  522.077	 20	2051	8	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	0	12	 inf	   21.840	   495.421	   186.379	  682.003	 20	2051	8	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	0	12	 inf	   21.840	   336.634	   187.499	  524.335	 20	2051	8	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	0	12	 inf	   21.840	   498.153	   187.989	  686.443	 20	2051	8	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	0	12	 inf	   21.840	   338.161	   186.638	  525.001	 20	2051	8	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	1	6	 inf	   21.104	   509.180	   185.904	  695.349	 20	1992	8	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	1	6	 inf	   21.104	   337.094	   185.899	  523.195	 20	1992	8	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	1	6	 inf	   21.104	   502.074	   187.077	  689.354	 20	1992	8	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	1	6	 inf	   21.104	   339.231	   187.295	  526.725	 20	1992	8	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	1	12	 inf	   21.104	   487.829	   188.891	  677.053	 20	1992	8	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	1	12	 inf	   21.104	   336.347	   188.776	  525.321	 20	1992	8	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	1	12	 inf	   21.104	   505.776	   188.214	  694.190	 20	1992	8	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	1	12	 inf	   21.104	   336.988	   186.103	  523.293	 20	1992	8	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	2	6	 inf	   23.881	   79.637	   185.395	  265.225	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	2	6	 inf	   23.881	   59.789	   186.596	  246.582	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	2	6	 inf	   23.881	   80.245	   187.432	  267.870	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	2	6	 inf	   23.881	   58.551	   188.987	  247.734	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	2	12	 inf	   23.881	   79.627	   191.544	  271.362	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	2	12	 inf	   23.881	   59.007	   189.485	  248.683	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	2	12	 inf	   23.881	   79.721	   189.326	  269.240	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 1	2	12	 inf	   23.881	   58.549	   189.160	  247.901	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	0	6	 inf	   23.948	   79.533	   188.484	  268.208	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	0	6	 inf	   23.948	   59.549	   188.722	  248.463	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	0	6	 inf	   23.948	   80.189	   187.611	  267.994	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	0	6	 inf	   23.948	   59.361	   189.332	  248.885	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	0	12	 inf	   23.948	   79.650	   190.018	  269.859	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	0	12	 inf	   23.948	   58.095	   189.500	  247.787	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	0	12	 inf	   23.948	   80.590	   189.118	  269.899	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	0	12	 inf	   23.948	   57.714	   187.913	  245.821	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	1	6	 inf	   24.088	   77.518	   189.768	  267.474	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	1	6	 inf	   24.088	   58.482	   188.233	  246.902	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	1	6	 inf	   24.088	   77.477	   186.589	  264.253	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	1	6	 inf	   24.088	   58.965	   188.114	  247.266	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	1	12	 inf	   24.088	   79.138	   189.504	  268.829	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	1	12	 inf	   24.088	   58.618	   186.851	  245.656	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	1	12	 inf	   24.088	   79.140	   188.306	  267.634	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	1	12	 inf	   24.088	   57.915	   189.791	  247.895	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	2	6	 inf	   23.881	   79.592	   187.323	  267.105	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	2	6	 inf	   23.881	   58.232	   187.921	  246.340	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	2	6	 inf	   23.881	   78.580	   186.925	  265.693	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	2	6	 inf	   23.881	   58.474	   187.623	  246.286	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	2	12	 inf	   23.881	   79.442	   188.893	  268.523	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	2	12	 inf	   23.881	   58.484	   185.793	  244.466	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	2	12	 inf	   23.881	   77.910	   187.437	  265.536	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  8	 100	2	12	 inf	   23.881	   57.838	   187.844	  245.871	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	0	6	 inf	   19.998	   2312.667	   187.043	  2499.961	 20	1928	8	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	0	6	 inf	   19.998	   901.234	   188.549	  1089.968	 20	1928	8	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	0	6	 inf	   19.998	   2322.104	   187.967	  2510.283	 20	1928	8	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	0	6	 inf	   19.998	   900.129	   189.422	  1089.737	 20	1928	8	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	0	12	 inf	   19.998	   2316.472	   186.846	  2503.544	 20	1928	8	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	0	12	 inf	   19.998	   899.923	   187.309	  1087.417	 20	1928	8	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	0	12	 inf	   19.998	   2299.403	   187.609	  2487.281	 20	1928	8	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	0	12	 inf	   19.998	   901.389	   188.449	  1090.022	 20	1928	8	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	1	6	 inf	   19.198	   2305.173	   188.109	  2493.522	 20	1849	8	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	1	6	 inf	   19.198	   900.595	   189.611	  1090.390	 20	1849	8	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	1	6	 inf	   19.198	   2328.408	   188.941	  2517.584	 20	1849	8	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	1	6	 inf	   19.198	   907.092	   188.793	  1096.070	 20	1849	8	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	1	12	 inf	   19.198	   2350.950	   187.622	  2538.764	 20	1849	8	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	1	12	 inf	   19.198	   902.417	   188.765	  1091.366	 20	1849	8	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	1	12	 inf	   19.198	   2326.170	   187.222	  2513.618	 20	1849	8	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	1	12	 inf	   19.198	   899.791	   188.290	  1088.266	 20	1849	8	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	6	 inf	   23.875	   297.195	   188.368	  485.751	 1	2141	6	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	6	 inf	   23.875	   183.000	   189.286	  372.474	 1	2141	6	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	6	 inf	   23.875	   345.537	   186.765	  532.491	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	6	 inf	   23.875	   194.241	   187.716	  382.145	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	12	 inf	   23.875	   345.608	   187.040	  532.834	 1	2141	9	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	12	 inf	   23.875	   195.775	   186.938	  382.900	 1	2141	9	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	12	 inf	   23.875	   347.097	   186.623	  533.907	 2	2141	12	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 1	2	12	 inf	   23.875	   196.213	   185.556	  381.958	 2	2141	12	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	6	 inf	   23.876	   344.734	   186.661	  531.582	 2	2141	12	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	6	 inf	   23.876	   194.756	   186.792	  381.735	 2	2141	12	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	528	  56	 100	0	6	 inf	   23.876	   343.991	   185.822	  530.000	 2	2141	12	0	1	0	0
