
                            The run.sh command was:                                 
##########################################################################################
#!/bin/bash
#SBATCH --account=k1251
#SBATCH --job-name=pfeast_nc64
#SBATCH --output=./sensTV/64/pfeast_nc_64-%j.out
#SBATCH --error=./sensTV/64/errors/pfeast_nc_64-%j.err
#SBATCH --nodes=1
#SBATCH --time=23:59:00


echo""
echo "                            The run.sh command was:                                 "
echo "##########################################################################################"
cat run_64.sh
echo""

export MKL_NUM_THREADS=32 OMP_NUM_THREADS=32
 
#srun --ntasks=1 --ntasks-per-node=1    ./SCSA_2D2D_dfeast_parallel   -nc 8 --data ../dat_data/img64_Lena64.dat ../dat_data/img64_Lena64.dat  -N 64 -h 0.26 -gm 0.5
srun --ntasks=4 --ntasks-per-node=4  --ntasks-per-socket=2  ./SCSA_2D2D_dfeast_parallel   -nc 8 --data ../dat_data/img64_Lena64.dat ../dat_data/img64_Lena64.dat  -N 64 -h 0.26 -gm 0.5
#srun --ntasks=8 --ntasks-per-node=8  --ntasks-per-socket=4  ./SCSA_2D2D_dfeast_parallel   -nc 8 --data ../dat_data/img64_Lena64.dat ../dat_data/img64_Lena64.dat  -N 64 -h 0.26 -gm 0.5
#srun --ntasks=16 --ntasks-per-node=16  --ntasks-per-socket=8  ./SCSA_2D2D_dfeast_parallel   -nc 8 --data ../dat_data/img64_Lena64.dat ../dat_data/img64_Lena64.dat  -N 64 -h 0.26 -gm 0.5

echo""



Feast 3.0:  image size = 64 X 64  ,   # Sub-Intervals= 4

| Sub-Intervals| 		| -1.09 -- -0.454 -- -0.285 -- -0.138 -- 0 |
| List M0 |   		          | 660 -- 667 -- 675 -- 676 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	0	6	 inf	   50.615	   117.738	   184.326	  302.291	 2	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	0	6	 inf	   50.615	   88.464	   185.499	  274.169	 2	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	0	6	 inf	   50.615	   120.117	   186.087	  306.412	 2	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	0	6	 inf	   50.615	   90.227	   185.355	  275.894	 2	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	0	12	 inf	   50.615	   167.280	   184.743	  352.319	 3	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	0	12	 inf	   50.615	   125.897	   185.484	  311.703	 3	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	0	12	 inf	   50.615	   241.837	   185.259	  427.394	 12	2560	2	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	0	12	 inf	   50.615	   171.315	   183.297	  354.816	 10	2560	2	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	1	6	 inf	   50.615	   165.784	   184.595	  350.583	 3	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	1	6	 inf	   50.615	   126.888	   185.762	  312.976	 3	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	1	6	 inf	   50.615	   220.921	   183.629	  404.819	 4	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	1	6	 inf	   50.615	   162.757	   184.962	  348.025	 4	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	1	12	 inf	   50.615	   263.431	   183.117	  446.787	 5	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	1	12	 inf	   50.615	   183.477	   184.105	  367.883	 5	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	1	12	 inf	   50.615	   410.686	   184.446	  595.385	 11	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	1	12	 inf	   50.615	   296.741	   184.820	  481.766	 9	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	2	6	 inf	   50.615	   119.863	   185.225	  305.371	 3	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	2	6	 inf	   50.615	   90.498	   185.702	  276.434	 3	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	2	6	 inf	   50.615	   123.666	   186.365	  310.237	 4	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	2	6	 inf	   50.615	   88.597	   187.643	  276.446	 4	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	2	12	 inf	   50.615	   181.712	   185.651	  367.566	 4	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	2	12	 inf	   50.615	   127.504	   186.814	  314.619	 4	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	2	12	 inf	   50.615	   244.201	   187.237	  431.643	 8	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 1	2	12	 inf	   50.615	   170.309	   187.626	  358.140	 8	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	0	6	 inf	   50.615	   220.590	   186.636	  407.431	 4	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	0	6	 inf	   50.615	   164.660	   186.344	  351.314	 4	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	0	6	 inf	   50.615	   317.140	   188.571	  505.942	 6	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	0	6	 inf	   50.615	   235.723	   189.982	  426.046	 6	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	0	12	 inf	   50.615	   407.404	   190.533	  598.168	 8	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	0	12	 inf	   50.615	   306.581	   189.536	  496.444	 8	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	0	12	 inf	   50.615	   556.083	   190.912	  747.256	 12	2560	2	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	0	12	 inf	   50.615	   402.711	   191.309	  594.353	 12	2560	2	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	1	6	 inf	   50.616	   582.004	   191.458	  773.770	 14	2560	2	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	1	6	 inf	   50.616	   416.977	   190.455	  607.717	 14	2560	2	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  8	 100	1	6	 inf	   50.616	   618.504	   191.551	  810.324	 20	2560	8	0	1	0	0
